date,username,Lemma,TextBlob,vaderSentiment,SWN
2022-02-13 00:38:03,mazzya6,  think two fold although sure far righters mix contrast two similar country five minute apart completely different covid mandate others protest federal mandate want mandate govern travel drop,Positive,Neutral,Positive
2022-02-13 00:38:02,Leanne00888573,  sick hear family member mine suffer heart failure day booster apparently one thing people suffer heart failure daily yet people apply logic covid face rolling eye covid death,Negative,Negative,Positive
2022-02-13 00:38:02,Georgie_D_101,  also determine unless look case whether yes fact covid factor mean recover crash also variation car accident level seriousness injury would different car accident case,Negative,Negative,Negative
2022-02-13 00:38:02,originalscout11,  denmark wrong count case death correctly denmark mm people mm virus almost go learn lie covid disappears time,Negative,Negative,Negative
2022-02-13 00:38:02,leadershipindex,  covid change way work via,Neutral,Neutral,Neutral
2022-02-13 00:38:01,UKLabour_Innit,  uk covid death fall one week yet uk labour party mp still demand lockdown wilt flower high heel shoe palestinian territory china,Positive,Neutral,Negative
2022-02-13 00:38:01,zabrilgom,  anoche empujaron algo de personas covid ya te siento,Neutral,Neutral,Neutral
2022-02-13 00:38:01,ActivistHat_,  case take precaution prevent covid infection personal benefit problem take precaution require take account people exist matter would rather die,Neutral,Negative,Negative
2022-02-13 00:38:01,TtnKolonyas3,  nakodumun covid testi negative se benim niye taraf r yo bo az ac yo alev alev yan om amk,Negative,Negative,Negative
2022-02-13 00:38:00,ENGINEER__28,  liberum anuncia que el pas covid cae en andaluc partir del martes ale covidianos seguir pinch ndose para renovar nada,Neutral,Neutral,Negative
2022-02-13 00:38:00,usapatrioteast2,  broad spectrum coronavirus fusion inhibitor combat covid emerge coronavirus disease,Positive,Neutral,Neutral
2022-02-13 00:38:00,Kathy85829752,  another planned effort make president biden fail put th effort fight covid death etc,Negative,Negative,Neutral
2022-02-13 00:38:00,ATL_Test_Watch,  covid test available today cv moreland avenue atlanta ga pm pm pm pm pm pm pm pm pm pm pm pm pm pm pm pm pm pm pm,Positive,Neutral,Positive
2022-02-13 00:38:00,ians_india,  delhi saturday report fresh covid infection last hour take overall caseload official say besides covid death also report take toll,Positive,Neutral,Negative
2022-02-13 00:38:00,Meemou4you,  reduction transmission long maybe month also read part vaccinate die great number unvaxxed covid death ok long coivd,Positive,Neutral,Neutral
2022-02-13 00:37:59,EosNoticiasSLP,  casi mil nuevos contagios de covid en slp,Neutral,Neutral,Neutral
2022-02-13 00:37:59,PhiCap3,  covid sra c dr sabatier dir cnrs france many old treatment wok prophylactic cure vit artemisia annua nigella v e r e c n,Positive,Neutral,Positive
2022-02-13 00:37:59,maik_weed_ing,  la gente alega que el gobierno hace nada con el covid otros alegan contra la restricciones otros contra la vacuna otros contra los antivacunas otros por el cierre de comercio imposible darles en gusto q todos,Neutral,Neutral,Positive
2022-02-13 00:37:59,andina_gama,  tel thing respect covid believe much different flu pfizer make billion fear vaccine mandate covid scam earth flat man much evidence proof nasa,Positive,Negative,Negative
2022-02-13 00:37:59,CryptoKing69420,  explain everything away covid rich people matter know pay silence inflation fault trucker beat go,Positive,Neutral,Negative
2022-02-13 00:37:58,MDemenchuk,  make least somewhat evident chance develop long covid greatly diminish vaccination hard tell base read,Negative,Neutral,Positive
2022-02-13 00:37:58,Carolinansousaa,  isso deve ser efeitos covid,Neutral,Neutral,0
2022-02-13 00:37:57,morgabaldissera,  eu fui convidada pra uma formatura agora fevereiro tava analisando possibilidade de ir dei conta que preciso reaver tempo perdido de conv vio social do anos de isolamento os sinais que eu recebo meu pai pega covid e eu trabalho de ter bado agora clown face,Positive,Neutral,Positive
2022-02-13 00:37:57,CarlosE36439965,  ele quase nem apareceu circo da cpi da covid e voc acha mesmo que ele vai colocar cara assim para indicar algu fl vio bolsonaro homem mais frouxo que j vi brabos mesmo eduardo e carlos bolsonaro fl vio uma vergonha como senador pronto falei,Neutral,Neutral,Positive
2022-02-13 00:37:57,ross81012257,  pointless tweet tory keep inferring covid god forbid flip flop score political point oops exactly,Neutral,Neutral,Positive
2022-02-13 00:37:57,MexTwitt,  el que quiere sabe puede entender la realidad de la masacre que represent para xico el pesimo manejo de la pandemia pues va entender ni aunque se le muera su madre de covid,Neutral,Neutral,Negative
2022-02-13 00:37:57,Showboat7,  give old acquaintance nyc day think covid mess thinking,Negative,Neutral,Positive
2022-02-13 00:37:57,DANNYCARLINO,  hey anti science stupid require minor leaguers date covid vaccination least likely affect see young soccer player develop heart problem europe give endthemandates,Negative,Neutral,Negative
2022-02-13 00:37:56,Lalo96714716,  si se masifico porque est lleno de gente en ruina por la crisis del covid que cree que se har millonaria con la criptomonedas por eso la hacen subir parece qu hay una adopci n pero la realidad e que cuando aparezca la primera sacudida salen todos corriendo en estampida,Neutral,Negative,Positive
2022-02-13 00:37:56,nabiilashn,  pengen main tp org pd covid,Positive,Neutral,Positive
2022-02-13 00:37:56,holeofholland,  funny towards covid first get fall symptom look,Positive,Neutral,Positive
2022-02-13 00:37:56,paulthacker11,  pfizer pull covid vaccine eau india pesky folk want independent study yes mean keep line put stuff body sure good,Positive,Positive,Positive
2022-02-13 00:37:55,LafcSelma,  covid testi,Neutral,Neutral,0
2022-02-13 00:37:54,melasu_da,  gente tanse sto en lo profundo de ustedes sin covid existe la econom porque la econom subsist gracias al covid viene una hostia financiera que soy capaz de imaginarme hagan acopio por amor de dios aunque pase nada act en ya porque esta todo bomb,Neutral,Neutral,Negative
2022-02-13 00:37:54,ItsColour,  vaccine solution vax rate covid would already besides covid thing consider ethical moral question scientific one actually care people respect perspective choice,Positive,Positive,Positive
2022-02-13 00:37:54,cansfield96,  passport work fine cost billion either representative westminster condone everything government do pandemic either shut hold head shame way party handle covid pan,Positive,Neutral,Negative
2022-02-13 00:37:53,JujuyPua,  hay de mil vacunas contra el covid disponibles en jujuy,Neutral,Neutral,Neutral
2022-02-13 00:37:53,OfthunderSon,  oil gas pay bill find hard way covid money go nm fast track rd world state thetruth,Negative,Neutral,Negative
2022-02-13 00:37:53,juliandipede,  positivo en covid negativo en cockbig,Neutral,Neutral,Neutral
2022-02-13 00:37:53,GabyTijman,  hay de mil vacunas contra el covid disponibles en jujuy,Neutral,Neutral,Neutral
2022-02-13 00:37:53,northofeden_,  day day negative test lft today show faint line ever see guess official covid man dance medium light skin tone,Negative,Negative,Negative
2022-02-13 00:37:52,SoberOptimist,  trudeau choice free willed man set tone commensurate proportional representation appointers minority govt poll ipsos say mandate effective hammer covid willfully amp defiantly even moderate knowing,Positive,Positive,Positive
2022-02-13 00:37:52,ksteven18644240,  hear get covid shot shingle flu shot well,Neutral,Neutral,Positive
2022-02-13 00:37:52,happycanuck1974,  discuss vax side affect diminish fact vaers website give hospital money covid patient count flu cold case covid push pcr test false positives attack florida buck system fund provs state vax pas system right thing,Negative,Neutral,Negative
2022-02-13 00:37:52,HeartsofOakUK,  heart oak podcast week jamie jenkins crunch covid stats expose government misinformation listen spotify pod app choice hit play clip play pause button covidstats,Neutral,Positive,Negative
2022-02-13 00:37:52,submarinojujuy,  hay de mil vacunas contra el covid disponibles en jujuy,Neutral,Neutral,Neutral
2022-02-13 00:37:51,TBoneStyle,  best friend husband unvaccinated last week icu fighting life covid natural immune system handle need oxygen steroid antibiotic shove statistic mind shine,Positive,Positive,Positive
2022-02-13 00:37:51,bill_smafia,  covid vaccine thing,Neutral,Neutral,Neutral
2022-02-13 00:37:50,ATL_Test_Watch,  covid test available today cv centerville highway snellville ga pm pm pm pm pm pm pm pm pm,Positive,Neutral,Positive
2022-02-13 00:37:49,AnnaStr76,  drop tyrannical mandate blockade necessary pm blackface know vax vax fail people still get covid flu people still spread wake f already honkhonk,Negative,Negative,Positive
2022-02-13 00:37:49,NastyOldWomyn,  excellent thread strike parallel tv lawyer comment ag garland tv medical expert comment handling covid mediation,Positive,Neutral,Positive
2022-02-13 00:37:49,cachita2021,  sexo digo seg n transmite el coba digo covid,Neutral,Neutral,Neutral
2022-02-13 00:37:49,mattFarris,  car covid misinformation sticker also stop railroad track man shrug,Neutral,Negative,Negative
2022-02-13 00:37:47,texasT_J,  one die westing mask die take bs dewormer drinking bleach get covid,Neutral,Negative,Positive
2022-02-13 00:37:47,fachrurrizkyy,  masa iya covid sih,Neutral,Neutral,Neutral
2022-02-13 00:37:47,guru_sc,  sc tem das crian de anos vacinadas contra covid segundo governo estado santa catarina g,Neutral,Neutral,Neutral
2022-02-13 00:37:47,Wpgcold,  child account world pop covid death cdn death age k death cdn covid account less stats say covid rank third kid concern science,Negative,Negative,Negative
2022-02-13 00:37:46,srhodes36,  could describe covid survivability say could describe nearly million american dead past two year,Negative,Negative,Negative
2022-02-13 00:37:46,WayzataMom2,  die time without get covid call die c,Neutral,Negative,Positive
2022-02-13 00:37:46,Jeffmw,  well recover covid need antibody test,Neutral,Neutral,Positive
2022-02-13 00:37:46,ParoledeVilaine,  j ai envie de sucre et de gras voil tellement que mon menu r v du moment ce serait entr e moules frites plat raclette et sa fondue moiti moiti dessert gaufres li geoises avec cr isigny bon dessert check mark button je sais pa si c est le covid ou l ennui grin face sweat,Neutral,Positive,Negative
2022-02-13 00:37:46,winendar_bisri,  cara merawat keluarga yang terinfeksi covid di rumah,Neutral,Neutral,Positive
2022-02-13 00:37:45,amazing7773,  takeindianstudentsbacktochina student chinese medical university stick india due covid travel resistriction sir major medicine online class valid plzz help us return china year,Negative,Neutral,Positive
2022-02-13 00:37:45,submarinojujuy,  hay de mil vacunas contra el covid disponibles en jujuy leelo completo en destacadas salud todosobreelcoronavirus,Neutral,Neutral,Neutral
2022-02-13 00:37:44,today_lincoln,  terrible child perish automobile accident last year covid flu,Negative,Negative,Negative
2022-02-13 00:37:44,the_real_yucob,  trucker protest french police fire tear gas protest covid via,Neutral,Negative,Neutral
2022-02-13 00:37:44,Willy33565753,  sure covid help country invest agriculture long bombing nigeria improvement,Positive,Positive,Positive
2022-02-13 00:37:44,Jenna15700674,  uhh pharmacy stock covid test rn try give away time,Neutral,Neutral,Positive
2022-02-13 00:37:44,jeffcalcagno,  never felt bad long covid sufferer struggle exercise,Negative,Neutral,Negative
2022-02-13 00:37:44,batalysta,  pretty much right schedule four new covid relate death ottawa saturday via,Positive,Neutral,Positive
2022-02-13 00:37:43,cmtjbc,  lie begin risk fractionally low vaccinate people still get covid work fact suggest get side truth quickly facist freedomconvoy,Positive,Neutral,Positive
2022-02-13 00:37:43,_doglizard,  literally bad thing covid nineteen nowhere go get tongue pierce,Negative,Negative,Negative
2022-02-13 00:37:42,DunandVictor,  et pour info en j ai de tas de gen qui le porte conscieusement et l chop au taf avec un masque passer h par jour pr de covid contamine,Neutral,Neutral,Negative
2022-02-13 00:37:42,enfermero_cesar,  ac vacunas cero covid,Neutral,Neutral,Neutral
2022-02-13 00:37:42,ldtestino,  msc get shout sec cardona part department arp star social medium campaign highlight school word everything fight covid give student teacher family tool need succeed,Negative,Neutral,Positive
2022-02-13 00:37:41,Straigh54166476,  freedom convoy police move trucker protest covid rule us canada border injunction issue via protestors may break law govt look charter right section subsection clause b work,Positive,Neutral,Positive
2022-02-13 00:37:41,StevePaul63,  serious pm do bad resign john major spring mind blair dodgy dossier amp death dr david kelly resign keir drink people illegally mps ignore covid rule even reporter resignation bojo,Negative,Negative,Negative
2022-02-13 00:37:40,ATL_Test_Watch,  covid test available today cv pleasant hill rd duluth ga pm pm pm,Positive,Positive,Positive
2022-02-13 00:37:40,angrygoatguy,  cool find social pat flynn interest able get fire product buy price vintage go crazy make video maybe speak collection look like covid smile face halo,Positive,Positive,Negative
2022-02-13 00:37:40,TammieWrampe,  probably well vaccine lol also take care get covid literally lose taste smell,Positive,Positive,Neutral
2022-02-13 00:37:39,ThisIsNotRealX,  covid restriction keep call mandate ozzies australian protest mandate shed light fact nothing suppose pandemic virus mandate,Positive,Neutral,Positive
2022-02-13 00:37:39,Taram52,  long ago send us covid icu patient next time keep,Negative,Neutral,Positive
2022-02-13 00:37:39,DiYBioinfo,  que voc v nesse gr fico de casos di rio de covid na dinamarca eu vejo claramente um plat deve ser por isso que chamam de fase end mica plat aparece n tido se vc virar tela graus,Neutral,Neutral,Neutral
2022-02-13 00:37:38,Violettgtz,  que poca ahora todo e covid,Neutral,Neutral,Positive
2022-02-13 00:37:37,JSchuurMD,  heart disease risk soar covid even mild case getvaccinated listen huckster scar incredibly rare vaccine side effect,Positive,Neutral,Negative
2022-02-13 00:37:37,Armadillito,  en temps impossible organiser avec le covid les restriction du nombre invit une certaine logique,Negative,Neutral,Negative
2022-02-13 00:37:37,CMRaulCampillo,  dr wilma wooten vital fight covid public health officer fixture sd since begin career faculty member ucsd dept family amp preventative medicine hhsa since,Positive,Neutral,Positive
2022-02-13 00:37:37,realdentarthur,  probably overdo wear n situation actually comfortable wear home outside except crowd avoid anyway covid,Positive,Neutral,Negative
2022-02-13 00:37:36,haziqariff__,  test positive covid really show actually care call texting every day people pretend care,Positive,Positive,Positive
2022-02-13 00:37:36,itsrAti0,  cool long new map mode game die even try put blame covid,Positive,Negative,Negative
2022-02-13 00:37:36,jw_lockhart,  covid book come late october assume similar pace,Negative,Neutral,Negative
2022-02-13 00:37:35,indigonmi,  eh impressionante que mesmo num hospital cheio de gente infectada com covid galera n usa scara direito tem idosa aqui sem scara,Neutral,Neutral,Positive
2022-02-13 00:37:35,Martude06,  ha sido tener el covid volver ser titular efectivamente woman shrug light skin tone,Positive,Neutral,Negative
2022-02-13 00:37:35,GadgieOld,  tell nothing covid though ugly bugger,Negative,Neutral,Neutral
2022-02-13 00:37:34,WiliamCruz0310,  opinion organize event without care covid irresponsible say problem get vaccinated lie give suspicious documentation lie organize child event contaminate lie company pro vaccine absurd,Negative,Negative,Negative
2022-02-13 00:37:33,ElevenRooneys,  whole covid b ruin much describe tweet distress honking comical,Positive,Negative,Negative
2022-02-13 00:37:33,PaulRoundy1,  protection severe disease omicron previous covid infection obviously advocate get infect previous vaccination nevertheless true,Positive,Neutral,Negative
2022-02-13 00:37:33,volunte28983615,  covid sweep new bill would require vaccine every california worker via,Positive,Neutral,Positive
2022-02-13 00:37:33,barbietrucker82,  covid around take science maybe little research vaccine body scare hell vaccinate imagine would feel whole truth start come,Positive,Negative,Negative
2022-02-13 00:37:32,Rich_pi_34,  k death covid stop lie number fudge include people die covid cause test even accurate either either way still zero justification vax mandate,Positive,Negative,Negative
2022-02-13 00:37:32,ATL_Test_Watch,  covid test available today cv mount vernon road suite atlanta ga pm pm pm pm pm pm pm pm,Positive,Neutral,Positive
